timestamp,group,lag,retry_rate,recovery_rate,dlq_rate,throughput
1780379975.9369693,grupo-consumidores,-1,0,0,0,0
1780379975.9369693,grupo-reintentos,-1,0,0,0,0
1780379985.938643,grupo-consumidores,-1,0,0,0,0
1780379985.938643,grupo-reintentos,-1,0,0,0,0
1780379995.9406698,grupo-consumidores,-1,0,0,0,0
1780379995.9406698,grupo-reintentos,-1,0,0,0,0
1780380005.9424942,grupo-consumidores,-1,0,0,0,0
1780380005.9424942,grupo-reintentos,-1,0,0,0,0
1780380015.944273,grupo-consumidores,-1,0,0,0,0
1780380015.944273,grupo-reintentos,-1,0,0,0,0
1780380025.9460948,grupo-consumidores,-1,0,0,0,0
1780380025.9460948,grupo-reintentos,-1,0,0,0,0
1780380035.947579,grupo-consumidores,-1,0,0,0,0
1780380035.947579,grupo-reintentos,-1,0,0,0,0
1780380045.9483826,grupo-consumidores,-1,0,0,0,0
1780380045.9483826,grupo-reintentos,-1,0,0,0,0
1780380055.9495761,grupo-consumidores,-1,0,0,0,0
1780380055.9495761,grupo-reintentos,-1,0,0,0,0
1780380065.9512072,grupo-consumidores,-1,0,0,0,0
1780380065.9512072,grupo-reintentos,-1,0,0,0,0
1780380075.9521208,grupo-consumidores,-1,0,0,0,0
1780380075.9521208,grupo-reintentos,-1,0,0,0,0
1780380085.954474,grupo-consumidores,-1,0,0,0,0
1780380085.954474,grupo-reintentos,-1,0,0,0,0
1780380095.9553463,grupo-consumidores,-1,0,0,0,0
1780380095.9553463,grupo-reintentos,-1,0,0,0,0
1780380105.957066,grupo-consumidores,-1,0,0,0,0
1780380105.957066,grupo-reintentos,-1,0,0,0,0
1780380115.9589162,grupo-consumidores,-1,0,0,0,0
1780380115.9589162,grupo-reintentos,-1,0,0,0,0
1780380125.9604948,grupo-consumidores,-1,0,0,0,0
1780380125.9604948,grupo-reintentos,-1,0,0,0,0
1780380135.962065,grupo-consumidores,-1,0,0,0,0
1780380135.962065,grupo-reintentos,-1,0,0,0,0
1780380145.9632518,grupo-consumidores,-1,0,0,0,0
1780380145.9632518,grupo-reintentos,-1,0,0,0,0
1780380155.964918,grupo-consumidores,-1,0,0,0,0
1780380155.964918,grupo-reintentos,-1,0,0,0,0
1780380165.9660149,grupo-consumidores,-1,0,0,0,0
1780380165.9660149,grupo-reintentos,-1,0,0,0,0
1780380175.9670455,grupo-consumidores,-1,0,0,0,0
1780380175.9670455,grupo-reintentos,-1,0,0,0,0
1780380185.968858,grupo-consumidores,-1,0,0,0,0
1780380185.968858,grupo-reintentos,-1,0,0,0,0
1780380195.9708338,grupo-consumidores,-1,0,0,0,0
1780380195.9708338,grupo-reintentos,-1,0,0,0,0
1780380205.9726336,grupo-consumidores,-1,0,0,0,0
1780380205.9726336,grupo-reintentos,-1,0,0,0,0
1780380215.9742792,grupo-consumidores,-1,0,0,0,0
1780380215.9742792,grupo-reintentos,-1,0,0,0,0
1780380225.9763467,grupo-consumidores,-1,0,0,0,0
1780380225.9763467,grupo-reintentos,-1,0,0,0,0
1780380235.9779763,grupo-consumidores,-1,0,0,0,0
1780380235.9779763,grupo-reintentos,-1,0,0,0,0
1780380245.9787183,grupo-consumidores,-1,0,0,0,0
1780380245.9787183,grupo-reintentos,-1,0,0,0,0
1780380255.980373,grupo-consumidores,-1,0,0,0,0
1780380255.980373,grupo-reintentos,-1,0,0,0,0
1780380265.9819272,grupo-consumidores,-1,0,0,0,0
1780380265.9819272,grupo-reintentos,-1,0,0,0,0
1780380275.9826498,grupo-consumidores,-1,0,0,0,0
1780380275.9826498,grupo-reintentos,-1,0,0,0,0
1780380285.9843845,grupo-consumidores,-1,0,0,0,0
1780380285.9843845,grupo-reintentos,-1,0,0,0,0
1780380295.986342,grupo-consumidores,-1,0,0,0,0
1780380295.986342,grupo-reintentos,-1,0,0,0,0
1780380305.9882646,grupo-consumidores,-1,0,0,0,0
1780380305.9882646,grupo-reintentos,-1,0,0,0,0
1780380315.989981,grupo-consumidores,-1,0,0,0,0
1780380315.989981,grupo-reintentos,-1,0,0,0,0
1780380325.9918735,grupo-consumidores,-1,0,0,0,0
1780380325.9918735,grupo-reintentos,-1,0,0,0,0
1780380335.9935303,grupo-consumidores,-1,0,0,0,0
1780380335.9935303,grupo-reintentos,-1,0,0,0,0
