timestamp,lag_principal,lag_reintentos
1780383216.1747522,0,1991
1780383220.8456795,0,1990
1780383225.4877682,0,1990
1780383230.0514228,0,1989
1780383234.7440245,0,1989
1780383239.3737352,0,1988
1780383244.0710351,0,1988
1780383248.727009,0,1988
1780383253.4445286,0,1987
1780383258.0130634,0,1987
1780383262.6025126,0,1986
1780383267.1671965,0,1986
1780383271.8001406,0,1985
